Date,Close,High,Low,Open,Volume,prev_close,prev_open,prev_high,prev_low,1d_return,vol_5d,vol_10d,vol_20d
2007-01-03,5.583407402038574,5.5889965264870405,5.533106348018872,5.5889965264870405,2800,5.588995933532715,5.588995933532715,5.588995933532715,5.588995933532715,-0.0010004171515088183,0.005680901751283935,0.010735388921900504,0.014671080232422166
2007-01-04,5.588995933532715,5.588995933532715,5.583406809677217,5.583406809677217,11600,5.583407402038574,5.5889965264870405,5.5889965264870405,5.533106348018872,0.0010004171515088733,0.0007074017518472674,0.009540994891737733,0.012856268082417561
2007-01-05,5.728720664978027,5.728720664978028,5.7231315412853565,5.728720664978028,13900,5.588995933532715,5.583406809677217,5.588995933532715,5.583406809677217,0.0246925834576886,0.011065493789320917,0.011116912260622858,0.012983554000991687
2007-01-08,5.672832012176514,5.812556943836116,5.672832012176514,5.812556943836116,1700,5.728720664978027,5.728720664978028,5.728720664978028,5.7231315412853565,-0.009803770069407603,0.01287928473868584,0.01149607508040766,0.013180318651547052
2007-01-09,5.672832012176514,5.672832012176514,5.672832012176514,5.672832012176514,200,5.672832012176514,5.812556943836116,5.812556943836116,5.672832012176514,0.0,0.01287928473868584,0.01149607508040766,0.013109790149244457
2007-01-10,5.616942405700684,5.728722245349746,5.616942405700684,5.728722245349746,2500,5.672832012176514,5.672832012176514,5.672832012176514,5.672832012176514,-0.009901006163194009,0.014121761369181932,0.010362360494634563,0.013135291517839636
2007-01-11,5.616942405700684,5.616942405700684,5.616942405700684,5.616942405700684,0,5.616942405700684,5.728722245349746,5.728722245349746,5.616942405700684,0.0,0.014132337600777594,0.009447994233315915,0.013045799365468756
2007-01-12,5.8684468269348145,5.868446826934814,5.868446826934814,5.868446826934814,100,5.616942405700684,5.616942405700684,5.616942405700684,5.616942405700684,0.04380254382949508,0.022342035470842167,0.0166215462167443,0.015979711222246142
2007-01-15,5.8684468269348145,5.868446826934814,5.868446826934814,5.868446826934814,2100,5.8684468269348145,5.868446826934814,5.868446826934814,5.868446826934814,0.0,0.021135455505799476,0.0166215462167443,0.015861195961669263
2007-01-16,5.6840105056762695,5.773434380482025,5.6784213802488255,5.773434380482025,3900,5.8684468269348145,5.868446826934814,5.868446826934814,5.868446826934814,-0.03193294523539677,0.02754827893514171,0.020319196729619494,0.015940785497282523
2007-01-17,5.8684468269348145,5.868446826934814,5.5889969780331565,5.6057638197249355,16100,5.6840105056762695,5.773434380482025,5.773434380482025,5.6784213802488255,0.03193294523539679,0.02989296012258392,0.022398028464335466,0.017315850025038486
2007-01-18,6.036116123199463,6.119950854671144,6.030526998965825,6.119950854671144,6700,5.8684468269348145,5.6057638197249355,5.868446826934814,5.5889969780331565,0.028170775398684313,0.030478064567682813,0.02348343961473092,0.0180971334264701
2007-01-19,5.700776100158691,5.980225914215571,5.700776100158691,5.980225914215571,11100,6.036116123199463,6.119950854671144,6.119950854671144,6.030526998965825,-0.05715845566207422,0.038509902952486186,0.03020397908851264,0.02220307117537208
2007-01-22,5.8684468269348145,5.963459818202041,5.862857702034792,5.963459818202041,79900,5.700776100158691,5.980225914215571,5.980225914215571,5.700776100158691,0.028987680263389944,0.041654511250591594,0.03134424379809035,0.022987451774956452
2007-01-23,5.7399001121521,5.868446785904118,5.7399001121521,5.85726853618223,3200,5.8684468269348145,5.963459818202041,5.963459818202041,5.862857702034792,-0.022148195641859967,0.03997522527755241,0.03237594179564828,0.023650348981759137
2007-01-24,5.890802383422852,5.890802383422852,5.756666593210262,5.756666593210262,4300,5.7399001121521,5.85726853618223,5.868446785904118,5.7399001121521,0.02595040835470288,0.03892955865069672,0.0329922567606702,0.023970379879258343
2007-01-25,5.784614086151123,5.784614086151123,5.784614086151123,5.784614086151123,200,5.890802383422852,5.756666593210262,5.890802383422852,5.756666593210262,-0.018190567444989782,0.036193859137856124,0.03377605929245791,0.02417111520390892
2007-01-26,5.829323768615723,5.8908025408541125,5.829323768615723,5.8908025408541125,300,5.784614086151123,5.784614086151123,5.784614086151123,5.784614086151123,0.0076993529480606435,0.023952987488115772,0.030713844144821305,0.02420356880672933
2007-01-29,5.784614086151123,6.064064031704154,5.784614086151123,6.064064031704154,900,5.829323768615723,5.8908025408541125,5.8908025408541125,5.829323768615723,-0.007699352948060717,0.019824341913381772,0.030791618330114734,0.024299852138871918
2007-01-30,5.784614086151123,5.784614086151123,5.784614086151123,5.784614086151123,900,5.784614086151123,6.064064031704154,6.064064031704154,5.784614086151123,0.0,0.016664614330936103,0.028873906045034668,0.024299852138871918
2007-01-31,5.6840105056762695,5.75666753720803,5.672832254821381,5.75666753720803,30100,5.784614086151123,5.784614086151123,5.784614086151123,5.784614086151123,-0.017544590503249864,0.011201218335720665,0.027325673080353635,0.024676021881879822
2007-02-01,5.812556743621826,5.812556743621825,5.7566670926881,5.812556743621825,2400,5.6840105056762695,5.75666753720803,5.75666753720803,5.672832254821381,0.022363474686936904,0.015181019388388048,0.02663811550701365,0.025138951163755835
2007-02-02,5.8684468269348145,5.885213668626593,5.868446826934814,5.868446826934814,30500,5.812556743621826,5.812556743621825,5.812556743621825,5.7566670926881,0.009569470548460017,0.01540976889365269,0.019058951086036505,0.024641749220900573
2007-02-05,5.812556743621826,5.924337111505869,5.812556743621825,5.896392019534859,9800,5.8684468269348145,5.868446826934814,5.885213668626593,5.868446826934814,-0.009569470548459871,0.015703843957774462,0.016981535044054873,0.02463629521159006
2007-02-06,5.812556743621826,5.812556743621825,5.812556743621825,5.812556743621825,4900,5.812556743621826,5.896392019534859,5.924337111505869,5.812556743621825,0.0,0.015703843957774462,0.015268505224234617,0.02463629521159006
2007-02-07,5.91874885559082,5.924337981407362,5.91874885559082,5.924337981407362,1500,5.812556743621826,5.812556743621825,5.812556743621825,5.812556743621825,0.01810455138968168,0.013072079858834601,0.014008246704921836,0.02476667941746311
2007-02-08,5.812556743621826,5.924337111505869,5.812556743621825,5.924337111505869,3100,5.91874885559082,5.924337981407362,5.924337981407362,5.91874885559082,-0.018104551389681606,0.014480151028208666,0.013995533646127432,0.025194528166895633
